# Time (s)	Gamma
     250.2	    0.0846
     250.5	    0.0846
     250.8	    0.0847
     251.1	    0.0847
     251.4	    0.0847
     251.7	    0.0847
     252.0	    0.0847
     252.3	    0.0847
     252.6	    0.0847
     252.9	    0.0847
     253.2	    0.0847
     253.5	    0.0847
     253.8	    0.0847
     254.1	    0.0847
     254.4	    0.0847
     254.7	    0.0847
     255.0	    0.0847
     255.3	    0.0847
     255.6	    0.0848
     255.9	    0.0848
     256.2	    0.0848
     256.5	    0.0847
     256.8	    0.0847
     257.1	    0.0847
     257.4	    0.0847
     257.7	    0.0847
     258.0	    0.0846
     258.3	    0.0846
     258.6	    0.0846
     258.9	    0.0846
     259.2	    0.0845
     259.5	    0.0846
     259.8	    0.0846
     260.1	    0.0847
     260.4	    0.0847
     260.7	    0.0847
     261.0	    0.0847
     261.3	    0.0847
     261.6	    0.0847
     261.9	    0.0848
     262.2	    0.0848
     262.5	    0.0848
     262.8	    0.0848
     263.1	    0.0848
     263.4	    0.0848
     263.7	    0.0848
     264.0	    0.0847
     264.3	    0.0847
     264.6	    0.0847
     264.9	    0.0847
     265.2	    0.0847
     265.5	    0.0847
     265.8	    0.0846
     266.1	    0.0847
     266.4	    0.0847
     266.7	    0.0847
     267.0	    0.0847
     267.3	    0.0847
     267.6	    0.0847
     267.9	    0.0847
     268.2	    0.0847
     268.5	    0.0847
     268.8	    0.0847
     269.1	    0.0848
     269.4	    0.0848
     269.7	    0.0848
     270.0	    0.0848
     270.3	    0.0848
     270.6	    0.0848
     270.9	    0.0847
     271.2	    0.0847
     271.5	    0.0847
     271.8	    0.0847
     272.1	    0.0846
     272.4	    0.0846
     272.7	    0.0846
     273.0	    0.0845
     273.3	    0.0845
     273.6	    0.0846
     273.9	    0.0880
     274.2	    0.0988
     274.5	    0.1061
     274.8	    0.1109
     275.1	    0.1146
     275.4	    0.1167
     275.7	    0.1181
     276.0	    0.1188
     276.3	    0.1191
     276.6	    0.1191
     276.9	    0.1188
     277.2	    0.1184
     277.5	    0.1179
     277.8	    0.1174
     278.1	    0.1168
     278.4	    0.1162
     278.7	    0.1156
     279.0	    0.1150
     279.3	    0.1144
