# Measurement	Gamma	Time constant 1	Time constant 2
1	    0.0825	   11.2470	   92.6978
2	    0.0795	    9.3020	   54.0782
3	    0.0809	    8.7786	   59.1535
4	    0.0808	    8.3543	   52.2106
5	    0.0815	    8.0059	   47.9522
6	    0.0809	    7.9065	   45.8503
7	    0.0798	    7.9238	   38.3512
8	    0.0803	    7.8154	   37.8281
9	    0.0818	    7.4733	   38.1152
10	    0.0841	    7.5636	   48.4359
11	    0.0847	    8.0675	   54.7093
12	    0.0866	    8.1176	   59.2244
13	    0.0858	    7.5799	   53.1887
14	    0.0866	    7.3147	   53.0816
15	    0.0871	    7.5027	   51.5553
16	    0.0858	    7.5402	   45.0607
17	    0.0848	    8.1789	   49.7422
18	    0.0838	    8.2973	   50.7225
19	    0.0850	    7.9341	   50.8528
20	    0.0860	    7.8157	   48.4384
21	    0.0872	    8.1948	   62.0342
22	    0.0859	    7.7294	   49.1669
23	    0.0853	    8.1646	   48.8422
24	    0.0858	    8.4770	   58.0206
25	    0.0877	    8.1927	   65.7454
26	    0.0899	    4.4473	   18.7965
